Message,Actual_Label,Predicted_Label
We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcorder Reply or call now 08000930705 Del Thurs,spam,spam
Hey gals...U all wanna meet 4 dinner at nÌÂte? ,ham,ham
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,ham,ham
"Y cant u try new invention to fly..i'm not joking.,",ham,ham
"that would be good Û_ I'll phone you tomo lunchtime, shall I, to organise something?",ham,ham
LOL that would be awesome payback.,ham,ham
You'd like that wouldn't you? Jerk!,ham,ham
"Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later",ham,ham
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,spam,spam
He remains a bro amongst bros,ham,ham
Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705,spam,spam
If you're not in my car in an hour and a half I'm going apeshit,ham,ham
"Cool, text me when you head out",ham,ham
That's y i said it's bad dat all e gals know u... Wat u doing now?,ham,ham
I know girls always safe and selfish know i got it pa. Thank you. good night.,ham,ham
Ok.. ÌÏ finishing soon?,ham,ham
"life alle mone,eppolum oru pole allalo",ham,ham
"If i let you do this, i want you in the house by 8am.",ham,ham
Daddy will take good care of you :),ham,ham
Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,spam,spam
Just do what ever is easier for you,ham,ham
But i have to. I like to have love and arrange.,ham,ham
HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIRTY ANAL SEX AND I WANT A 10 MAN GANG BANG,ham,ham
"Goodmorning, Today i am late for  &lt;#&gt; min.",ham,ham
As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham,ham
I wish u were here. I feel so alone,ham,ham
"Awesome question with a cute answer: Someone asked a boy \how is ur life?\"" . . He smiled &amp; answered: . . \""She is fine!\"" Gudnite""",ham,ham
Ur HMV Quiz cash-balance is currently å£500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg,spam,spam
So wat's da decision?,ham,ham
K.k:)advance happy pongal.,ham,ham
Unless it's a situation where YOU GO GURL would be more appropriate,ham,ham
"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)",ham,ham
"THATåÕS ALRITE GIRL, U KNOW GAIL IS NEVA WRONG!!TAKE CARE SWEET AND DONåÕT WORRY.C U L8TR HUN!LOVE Yaxxx",ham,ham
WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,spam,spam
There's someone here that has a year  &lt;#&gt;  toyota camry like mr olayiwola's own. Mileage is  &lt;#&gt; k.its clean but i need to know how much will it sell for. If i can raise the dough for it how soon after landing will it sell. Holla back.,ham,ham
Ma head dey swell oh. Thanks for making my day,ham,ham
Ok... Take ur time n enjoy ur dinner...,ham,ham
"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",ham,ham
Ok thanx... Take care then...,ham,ham
K:)eng rocking in ashes:),ham,ham
I'm home...,ham,ham
"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine \KUDI\""yarasu dhina vaazhthukkal. ..""",ham,ham
Now thats going to ruin your thesis!,ham,ham
Lemme know when you're here,ham,ham
1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-),ham,ham
yay! finally lol. i missed our cinema trip last week :-(,ham,ham
How did you find out in a way that didn't include all of these details,ham,ham
Great. Hope you are using your connections from mode men also cos you can never know why old friends can lead you to today,ham,ham
For fear of fainting with the of all that housework you just did? Quick have a cuppa,ham,ham
Am I the only one who doesn't stalk profiles?,ham,ham
Aiyar u so poor thing... I give u my support k... Jia you! I'll think of u...,ham,ham
Okie... Thanx...,ham,ham
"Sorry, I'll call later",ham,ham
Mum say we wan to go then go... Then she can shun bian watch da glass exhibition... ,ham,ham
"Did you say bold, then torch later. Or one torch and 2bold?",ham,ham
Not yet chikku..wat abt u?,ham,ham
What was she looking for?,ham,ham
Shopping? Eh ger i toking abt syd leh...Haha,ham,ham
I liked the new mobile,ham,ham
Now am free call me pa.,ham,ham
Wat r u doing?,ham,ham
"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but",ham,ham
They just talking thats it de. They wont any other.,ham,ham
Yep. I do like the pink furniture tho.,ham,ham
Thanks honey but still haven't heard anything I will leave it a bit longer so not 2 crowd him and will try later - great advice thanks hope cardiff is still there!,ham,ham
Then Ì_ ask dad to pick Ì_ up lar... ÌÏ wan 2 stay until 6 meh...,ham,ham
"Sorry pa, i dont knw who ru pa?",ham,ham
U WILL SWITCH YOUR FONE ON DAMMIT!!,ham,ham
I'm at work. Please call,ham,ham
Well i will watch shrek in 3D!!B),ham,ham
Long after I quit. I get on only like 5 minutes a day as it is.,ham,ham
Hey you told your name to gautham ah?,ham,ham
Happy New Year Princess!,ham,ham
"Coffee cake, i guess...",ham,ham
I wont touch you with out your permission.,ham,ham
"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)",ham,ham
"\Speak only when you feel your words are better than the silence...\"" Gud mrng:-)""",ham,ham
"I got like $ &lt;#&gt; , I can get some more later though. Get whatever you feel like",ham,ham
"K I'm ready,  &lt;#&gt; ?",ham,ham
"Sir, I need Velusamy sir's date of birth and company bank facilities details.",ham,ham
"Rose needs water, season needs change, poet needs imagination..My phone needs ur sms and i need ur lovely frndship forever....",ham,ham
"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text",spam,spam
"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",ham,ham
Are you this much buzy,ham,ham
Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know,ham,ham
Yo do you know anyone  &lt;#&gt;  or otherwise able to buy liquor? Our guy flaked and right now if we don't get a hold of somebody its just 4 loko all night,ham,ham
And smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you ... *grins*,ham,ham
SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!,spam,spam
"Happy or sad , one thing about past is- \Its no more\"" GOOD MORNING :-):-).""",ham,ham
aathi..where are you dear..,ham,ham
"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!",ham,ham
"K, wen ur free come to my home and also tel vikky i hav sent mail to him also.. Better come evening il be free today aftr 6pm..:-)",ham,ham
Ugh I don't wanna get out of bed. It's so warm.,ham,ham
Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,ham,ham
Doc prescribed me morphine cause the other pain meds aren't enough. Waiting for my mom to bring it. That med should kick in fast so I'm gonna try to be on later,ham,ham
Aiyah sorry lor... I watch tv watch until i forgot 2 check my phone.,ham,ham
Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.,ham,ham
Kay... Since we are out already ,ham,ham
We have pizza if u want,ham,ham
"Aight, I'll text you when I'm back",ham,ham
"Aight, you close by or still down around alex's place?",ham,ham
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,spam,spam
You do what all you like,ham,ham
Do you like shaking your booty on the dance floor?,ham,ham
"Don't worry though, I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. Brb gonna go kill myself",ham,ham
Anyway holla at me whenever you're around because I need an excuse to go creep on people in sarasota,ham,ham
This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed,ham,ham
Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss,ham,ham
Oops i thk i dun haf enuff... I go check then tell Ì_..,ham,ham
Horrible bf... I now v hungry...,ham,ham
Hi there. We have now moved in2 our pub . Would be great 2 c u if u cud come up.,ham,ham
"Sorry, I'll call later",ham,ham
No i am not having not any movies in my laptop,ham,ham
Wot about on wed nite I am 3 then but only til 9!,ham,ham
Sac will score big hundred.he is set batsman:-),ham,ham
"Motivate Behind every darkness, there is a shining light waiting for you to find it... Behind every best friend, there is always trust and love... BSLVYL",ham,ham
But i'm surprised she still can guess right lor...,ham,ham
Who's there say hi to our drugdealer,ham,ham
Oh oh... Wasted... Den muz chiong on sat n sun liao...,ham,ham
"Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai..........",ham,ham
Lol I know! Hey someone did a great inpersonation of flea on the forums. I love it!,ham,ham
"U can WIN å£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription",spam,spam
I am not having her number sir,ham,ham
"Double Mins & 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia with Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/HF8",spam,spam
HOW ARE U? I HAVE MISSED U! I HAVENT BEEN UP 2 MUCH A BIT BORED WITH THE HOLIDAY WANT 2 GO BAK 2 COLLEGE! SAD ISNT IT?xx,ham,ham
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",spam,spam
Can help u swoop by picking u up from wherever ur other birds r meeting if u want.,ham,ham
He fucking chickened out. He messaged me he would be late and woould buzz me and then I didn't hear a word from him,ham,ham
Okay same with me. Well thanks for the clarification,ham,ham
Lol ok ill try to send. Be warned Sprint is dead slow. You'll prolly get it tomorrow,ham,ham
It is a good thing I'm now getting the connection to bw,ham,ham
"No dude, its not fake..my frnds got money, thts y i'm reffering u..if u member wit my mail link, u vl be credited  &lt;#&gt; rs and il be getiing  &lt;#&gt; rs..i can draw my acc wen it is  &lt;#&gt; rs..",ham,ham
S but not able to sleep.,ham,ham
"Wat time liao, where still got.",ham,ham
They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.,ham,ham
No:-)i got rumour that you going to buy apartment in chennai:-),ham,ham
Normally i use to drink more water daily:),ham,ham
Yup next stop.,ham,ham
K ill drink.pa then what doing. I need srs model pls send it to my mail id pa.,ham,ham
Kent vale lor... ÌÏ wait 4 me there ar?,ham,ham
YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a å£150 prize. To collect is easy. Just call 09061743386,spam,spam
Anything...,ham,ham
I thk 530 lor. But dunno can get tickets a not. Wat u doing now?,ham,ham
"How about clothes, jewelry, and trips?",ham,ham
Oic cos me n my sis got no lunch today my dad went out... So dunno whether 2 eat in sch or wat...,ham,ham
Just getting back home,ham,ham
Great escape. I fancy the bridge but needs her lager. See you tomo ,ham,ham
ÌÏ dun need to pick ur gf?,ham,ham
PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 ,spam,spam
Well. Balls. Time to make calls,ham,ham
In sch but neva mind u eat 1st lor..,ham,ham
What happen dear tell me,ham,ham
Ok,ham,ham
Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821,spam,ham
"Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*",ham,ham
We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed,spam,spam
Dai i downloaded but there is only exe file which i can only run that exe after installing.,ham,ham
"Sorry, I'll call later",ham,ham
"Fun fact: although you would think armand would eventually build up a tolerance or some shit considering how much he smokes, he gets fucked up in like 2 hits",ham,ham
But i dint slept in afternoon.,ham,ham
I think if he rule tamilnadu..then its very tough for our people.,ham,ham
You are right though. I can't give you the space you want and need. This is really starting to become an issue. I was going to suggest setting a definite move out--if i'm still there-- after greece. But maybe you are ready and should do it now.,ham,ham
"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs",ham,ham
aathi..where are you dear..,ham,ham
Hey what are you doing. Y no reply pa..,ham,ham
Well its not like you actually called someone a punto. That woulda been worse.,ham,ham
"Alright, I'll head out in a few minutes, text me where to meet you",ham,ham
Send me the new number,ham,ham
Take us out shopping and Mark will distract Isaiah.=D,ham,ham
Urgent! Please call 09061213237 from a landline. å£5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+,spam,spam
"Mmmmm ... I loved waking to your words this morning ! I miss you too, my Love. I hope your day goes well and you are happy. I wait for us to be together again",ham,ham
Just wanted to say holy shit you guys weren't kidding about this bud,ham,ham
Jus finish blowing my hair. U finish dinner already?,ham,ham
Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;,ham,ham
I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay,ham,ham
Well then you have a great weekend!,ham,ham
NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;,ham,ham
Aiyar dun disturb u liao... Thk u have lots 2 do aft ur cupboard come...,ham,ham
Why did I wake up on my own &gt;:(,ham,ham
"tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith..",spam,ham
"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao...",ham,ham
How come guoyang go n tell her? Then u told her?,ham,ham
18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,spam,spam
ringtoneking 84484,spam,ham
Ok. I.ll do you right later.,ham,ham
First answer my question.,ham,ham
"Yup, no need. I'll jus wait 4 e rain 2 stop.",ham,ham
Pls speak with me. I wont ask anything other then you friendship.,ham,ham
"Sorry, I'll call later",ham,ham
"True. It is passable. And if you get a high score and apply for phd, you get 5years of salary. So it makes life easier.",ham,ham
Aiyah e rain like quite big leh. If drizzling i can at least run home.,ham,ham
You should get more chicken broth if you want ramen unless there's some I don't know about,ham,ham
8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+,spam,spam
Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,ham,ham
And I don't plan on staying the night but I prolly won't be back til late,ham,ham
Now only i reached home. . . I am very tired now. . I will come tomorro,ham,ham
All day working day:)except saturday and sunday..,ham,ham
ÌÏ wait 4 me in sch i finish ard 5..,ham,ham
"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",spam,spam
"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy!",ham,ham
U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,spam,ham
Sending you greetings of joy and happiness. Do have a gr8 evening,ham,ham
For many things its an antibiotic and it can be used for chest abdomen and gynae infections even bone infections.,ham,ham
I am thinking of going down to reg for pract lessons.. Flung my advance.. Haha wat time u going?,ham,ham
Pls speak to that customer machan.,ham,ham
But you dint in touch with me.,ham,ham
Are you up for the challenge? I know i am :),ham,ham
Oh my God. I'm almost home,ham,ham
Good morning. At the repair shop--the ONLY reason i'm up at this hour.,ham,ham
"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",ham,ham
And how's your husband.,ham,ham
Dear are you angry i was busy dear,ham,ham
"Its so common hearin How r u? Wat r u doing? How was ur day? So let me ask u something different. Did u smile today? If not, do it now.... Gud evng.",ham,ham
Wat r u doing?,ham,ham
How come she can get it? Should b quite diff to guess rite...,ham,ham
"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance..""",ham,ham
Ok i vl..do u know i got adsense approved..,ham,ham
Siva is in hostel aha:-.,ham,ham
We still on for tonight?,ham,ham
Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM,spam,spam
Just curious because my cuz asked what I was up to,ham,ham
"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",spam,spam
"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",ham,ham
I'm good. Have you registered to vote?,ham,ham
Designation is software developer and may be she get chennai:),ham,ham
Din i tell u jus now 420,ham,ham
"Urgh, coach hot, smells of chip fat! Thanks again, especially for the duvet (not a predictive text word).",ham,ham
Tell dear what happen to you. Why you talking to me like an alian,ham,ham
Get me out of this dump heap. My mom decided to come to lowes. BORING.,ham,ham
MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY,ham,ham
You have an important customer service announcement from PREMIER.,spam,spam
It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.,ham,ham
What's a feathery bowa? Is that something guys have that I don't know about?,ham,ham
RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!,spam,spam
K da:)how many page you want?,ham,ham
So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream,ham,ham
You have WON a guaranteed å£1000 cash or a å£2000 prize.To claim yr prize call our customer service representative on,spam,spam
All done? All handed in? Celebrations in full swing yet?,ham,ham
I only haf msn. It's yijue@hotmail.com,ham,ham
Dude just saw a parked car with its sunroof popped up. Sux,ham,ham
"Helloooo... Wake up..! \Sweet\"" \""morning\"" \""welcomes\"" \""You\"" \""Enjoy\"" \""This Day\"" \""with full of joy\"".. \""GUD MRNG\"".""",ham,ham
Cuz ibored. And don wanna study,ham,ham
Hey! There's veggie pizza... :/,ham,ham
"Can you please ask macho what his price range is, does he want something new or used plus it he only interfued in the blackberry bold  &lt;#&gt;  or any bb",ham,ham
\Hey j! r u feeling any better,ham,ham
Ok then no need to tell me anything i am going to sleep good night,ham,ham
"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",ham,ham
Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs,ham,ham
Is avatar supposed to have subtoitles,ham,ham
How much is torch in 9ja.,ham,ham
Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow,ham,ham
7 lor... Change 2 suntec... Wat time u coming?,ham,ham
Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side,ham,ham
Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net å£1.50pm approx 3mins,spam,spam
U are subscribed to the best Mobile Content Service in the UK for å£3 per 10 days until you send STOP to 82324. Helpline 08706091795,spam,spam
"Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or å£10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer",spam,spam
There are no other charges after transfer charges and you can withdraw anyhow you like,ham,ham
here is my new address -apples&pairs&all that malarky,ham,ham
No problem. How are you doing?,ham,ham
I'm vivek:)i got call from your number.,ham,ham
Aight ill get on fb in a couple minutes,ham,ham
"K, wait chikku..il send aftr  &lt;#&gt; mins",ham,ham
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. å£1.50 SP:Tyrone,spam,spam
ALSO TELL HIM I SAID HAPPY BIRTHDAY,ham,ham
"I'm in a meeting, call me later at",ham,ham
Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.,ham,ham
Hope you are having a good week. Just checking in,ham,ham
"Derp. Which is worse, a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with",ham,ham
"Well, I was about to give up cos they all said no they didnÛ÷t do one nighters. I persevered and found one but it is very cheap so i apologise in advance. It is just somewhere to sleep isnt it?",ham,ham
Hows the champ just leaving glasgow!,ham,ham
That's necessarily respectful,ham,ham
Dude how do you like the buff wind.,ham,ham
Yeah that's the impression I got,ham,ham
I think steyn surely get one wicket:),ham,ham
Havent mus ask if u can 1st wat. Of meet 4 lunch den u n him meet can already lor. Or u wan 2 go ask da ge 1st then confirm w me asap?,ham,ham
When you are big..| God will bring success.,ham,ham
And of course you should make a stink!,ham,ham
Total video converter free download type this in google search:),ham,ham
Me too. Mark is taking forever to pick up my prescription and the pain is coming back.,ham,ham
Hey! Congrats 2u2. id luv 2 but ive had 2 go home!,ham,ham
"I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day.",ham,ham
We confirm eating at esplanade?,ham,ham
My phone,ham,ham
Tone Club: Your subs has now expired 2 re-sub reply MONOC 4 monos or POLYC 4 polys 1 weekly @ 150p per week Txt STOP 2 stop This msg free Stream 0871212025016,spam,spam
Tomarrow final hearing on my laptop case so i cant.,ham,ham
Can a not?,ham,ham
How have your little darlings been so far this week? Need a coffee run tomo?Can't believe it's that time of week already Û_,ham,ham
Cab is available.they pick up and drop at door steps.,ham,ham
Do we have any spare power supplies,ham,ham
Water logging in desert. Geoenvironmental implications.,ham,ham
I want to be inside you every night...,ham,ham
Argh why the fuck is nobody in town ;_;,ham,ham
Hope you are feeling great. Pls fill me in. Abiola,ham,ham
He didn't see his shadow. We get an early spring yay,ham,ham
Oh really?? Did you make it on air? What's your talent?,ham,ham
Also track down any lighters you can find,ham,ham
K...k:)why cant you come here and search job:),ham,ham
"Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX",spam,ham
Have you not finished work yet or something?,ham,ham
Hope you are having a great day.,ham,ham
Now that you have started dont stop. Just pray for more good ideas and anything i see that can help you guys i.ll forward you a link.,ham,ham
No. Did you multimedia message them or e-mail?,ham,ham
Lol yes. But it will add some spice to your day.,ham,ham
ÌÏ eatin later but i'm eatin wif my frens now lei... ÌÏ going home first? ,ham,ham
There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?,ham,ham
Shuhui say change 2 suntec steamboat? U noe where? Where r u now?,ham,ham
Guess who spent all last night phasing in and out of the fourth dimension,ham,ham
"Also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent.",ham,ham
"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch...",ham,ham
You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,ham,ham
Okay but i thought you were the expert,ham,ham
Just taste fish curry :-P,ham,ham
Then u ask darren go n pick u lor... But i oso sian tmr haf 2 meet lect...,ham,ham
